group,profile,run,project,duration_seconds,cpu_avg,mem_avg_gb,rx_bytes,tx_bytes,http_rps_avg,http_error_rps_avg,waiting_entries_created_delta,waiting_entries_waiting_avg,waiting_entries_completed_delta,worker_cycles_delta,reservation_holds_created_delta,reservation_completed_delta,reservation_holds_active_avg,reservation_stock_units_avg,docker_stats_sample_count,docker_stats_container_count,docker_stats_cpu_avg,docker_stats_mem_avg_gb,docker_stats_rx_bytes,docker_stats_tx_bytes,resource_source,resource_cpu_avg,resource_mem_avg_gb,resource_rx_bytes,resource_tx_bytes,errors
G0,contention,1,tcc-bes-g0-contention-run1,182.69642090797424,0.0,0.0,0.0,0.0,71.95663848577794,0.0,0.0,27.076923076923077,3226.0,161.0,0.0,40.0,1.5384615384615385,110.76923076923077,45,5,0.28025999999999995,0.4546609224817778,30654180.0,33735090.0,docker-stats,0.28025999999999995,0.4546609224817778,30654180.0,33735090.0,{}
G0,contention,2,tcc-bes-g0-contention-run2,183.78635692596436,0.0,0.0,0.0,0.0,71.96194052781556,0.0,0.0,28.307692307692307,3228.0,162.0,0.0,0.0,0.0,110.76923076923077,46,5,0.2837195652173913,0.444553597106087,30750340.0,33833140.0,docker-stats,0.2837195652173913,0.444553597106087,30750340.0,33833140.0,{}
G0,contention,3,tcc-bes-g0-contention-run3,183.37509608268738,0.0,0.0,0.0,0.0,77.51205292869305,0.0,0.0,25.846153846153847,3156.0,157.0,0.0,36.0,0.0,110.76923076923077,44,5,0.5179977272727272,0.44276884200727273,30452880.0,33435760.0,docker-stats,0.5179977272727272,0.44276884200727273,30452880.0,33435760.0,{}
G0,spike,1,tcc-bes-g0-spike-run1,182.12080693244934,0.0,0.0,0.0,0.0,126.53449873266186,0.0,0.0,50.69230769230769,4560.0,157.0,0.0,150.0,0.3076923076923077,276.9230769230769,44,5,0.6384363636363637,0.45766052770909094,44254590.0,48936470.0,docker-stats,0.6384363636363637,0.45766052770909094,44254590.0,48936470.0,{}
G0,spike,2,tcc-bes-g0-spike-run2,181.92640209197998,0.0,0.0,0.0,0.0,116.40408309760375,0.0,0.0,49.69230769230769,4677.0,158.0,0.0,92.0,0.8461538461538461,276.9230769230769,44,5,0.6508840909090909,0.43889697512727266,44373450.0,49054590.0,docker-stats,0.6508840909090909,0.43889697512727266,44373450.0,49054590.0,{}
G0,spike,3,tcc-bes-g0-spike-run3,182.63884806632996,0.0,0.0,0.0,0.0,115.41698061773593,0.0,0.0,46.46153846153846,4727.0,159.0,0.0,18.0,1.4615384615384615,276.9230769230769,45,5,0.6162977777777777,0.4497528877511111,44952880.0,49733940.0,docker-stats,0.6162977777777777,0.4497528877511111,44952880.0,49733940.0,{}
G0,steady,1,tcc-bes-g0-steady-run1,184.02854204177856,0.0,0.0,0.0,0.0,34.6326707836441,0.0,0.0,1.8461538461538463,1545.0,162.0,0.0,1545.0,7.384615384615385,4615.384615384615,46,5,0.2967391304347826,0.4424411723686956,25652580.0,27115740.0,docker-stats,0.2967391304347826,0.4424411723686956,25652580.0,27115740.0,{}
G0,steady,2,tcc-bes-g0-steady-run2,182.86501097679138,0.0,0.0,0.0,0.0,34.367129237529134,0.0,0.0,7.3076923076923075,1529.0,162.0,0.0,1529.0,1.6923076923076923,4615.384615384615,46,5,0.23088913043478262,0.4444656079026087,25252080.0,26745240.0,docker-stats,0.23088913043478262,0.4444656079026087,25252080.0,26745240.0,{}
G0,steady,3,tcc-bes-g0-steady-run3,182.05792999267578,0.0,0.0,0.0,0.0,35.80500705973781,0.0,0.0,3.8461538461538463,1610.0,161.0,0.0,1610.0,5.384615384615385,4615.384615384615,46,5,0.24623043478260873,0.44938297344000006,26152020.0,27635200.0,docker-stats,0.24623043478260873,0.44938297344000006,26152020.0,27635200.0,{}
G1,contention,1,tcc-bes-g1-contention-run1,183.35179591178894,0.0,0.0,0.0,0.0,102.10141426181657,0.0,0.0,25.384615384615383,2620.0,143.0,0.0,0.0,0.0,110.76923076923077,44,7,0.6370863636363636,0.8065465474327274,39280200.0,42201970.0,docker-stats,0.6370863636363636,0.8065465474327274,39280200.0,42201970.0,{}
